ime,priimek,starost,pozicija,stevilo_iger,povprecje_tocke,povprecje_osebne_napake,povprecje_asistence,povprecje_skoki,povprecje_trojke
Alex,Caruso,28,PG,67,5.6,2.4,2.9,2.9,0.8
Julian,Champagnie,21,SF,17,9.7,1.5,0.6,3.5,1.9
Justin,Champagnie,21,SF,5,2.2,0.4,0.8,1.6,0.2
Kennedy,Chandler,20,PG,36,2.2,0.4,1.6,1.1,0.1
Max,Christie,19,SG,41,3.1,0.8,0.5,1.8,0.6
Josh,Christopher,21,SG,64,5.8,0.9,1.1,1.1,0.3
Brandon,Clarke,26,PF,56,10.0,2.3,1.3,5.5,0.0
Jordan,Clarkson,30,SG,61,20.8,2.0,4.4,4.0,2.5
Nic,Claxton,23,C,76,12.6,2.8,1.9,9.2,0.0
Amir,Coffey,25,SF,50,3.4,1.0,1.1,1.1,0.2
John,Collins,25,PF,71,13.1,3.1,1.2,6.5,1.0
Zach,Collins,25,C,63,11.6,3.2,2.9,6.4,0.9
Chance,Comanche,26,C,1,7.0,0.0,0.0,3.0,0.0
Mike,Conley,35,PG,67,11.9,2.1,6.7,2.7,2.0
Pat,Connaughton,30,SF,61,7.6,1.1,1.3,4.6,1.8
Xavier,Cooks,27,PF,10,3.8,1.3,0.6,3.8,0.0
Robert,Covington,32,PF,48,6.0,1.8,1.2,3.5,1.1
Torrey,Craig,32,PF,79,7.4,2.3,1.5,5.4,1.3
Jae,Crowder,32,PF,18,6.9,1.5,1.5,3.8,1.3
Jarrett,Culver,23,SF,10,4.4,1.4,0.6,3.8,0.1
Cade,Cunningham,21,PG,12,19.9,2.8,6.0,6.2,1.4
Seth,Curry,32,SG,61,9.2,1.6,1.6,1.6,1.5
Stephen,Curry,34,PG,56,29.4,2.1,6.3,6.1,4.9
Dyson,Daniels,19,PG,59,3.8,1.7,2.3,3.2,0.5
Anthony,Davis,29,C,56,25.9,2.6,2.6,12.5,0.3
Johnny,Davis,20,SG,28,5.8,1.7,1.0,2.3,0.6
Terence,Davis,25,SG,64,6.7,1.6,1.0,2.2,1.4
JD,Davison,20,SG,12,1.6,0.4,0.9,0.8,0.2
Darius,Days,23,SF,4,3.8,0.5,0.3,1.5,0.8
Dewayne,Dedmon,33,C,38,5.2,2.0,0.7,3.5,0.3
Matthew,Dellavedova,32,PG,32,1.5,0.6,1.3,0.4,0.3
DeMar,DeRozan,33,SF,74,24.5,2.5,5.1,4.6,0.6
Moussa,Diabaté,21,C,22,2.7,0.7,0.2,2.3,0.0
Mamadi,Diakite,26,C,22,2.6,1.2,0.4,1.4,0.3
Hamidou,Diallo,24,SF,56,9.3,2.2,1.0,3.5,0.1
Gorgui,Dieng,33,C,31,3.9,1.8,1.7,3.5,0.7
Ousmane,Dieng,19,PF,39,4.9,1.1,1.2,2.7,0.7
