ime,priimek,starost,pozicija,stevilo_iger,povprecje_tocke,povprecje_osebne_napake,povprecje_asistence,povprecje_skoki,povprecje_trojke
Victor,Oladipo,30,SG,42,10.7,2.4,3.5,3.0,1.7
Kelly,Olynyk,31,C,68,12.5,3.4,3.7,6.2,1.4
Eugene,Omoruyi,25,SF,40,7.0,2.3,0.7,2.8,0.6
Cedi,Osman,27,SF,77,8.7,1.6,1.5,2.3,1.5
Kelly,Oubre,27,SF,48,20.3,2.9,1.1,5.2,2.3
Chris,Paul,37,PG,59,13.9,2.1,8.9,4.3,1.7
Cameron,Payne,28,PG,48,10.3,1.8,4.5,2.2,1.4
Gary,Payton,30,SG,22,4.6,2.0,1.4,3.1,0.6
Theo,Pinson,27,SG,40,2.4,0.9,1.2,1.6,0.6
Scotty,Pippen ,22,PG,6,2.3,0.5,0.3,0.7,0.2
Mason,Plumlee,32,C,79,10.8,2.7,3.1,8.9,0.0
Jakob,Poeltl,27,C,72,12.5,2.7,2.7,9.1,0.0
Aleksej,Pokusevski,21,PF,34,8.1,1.7,1.9,4.7,1.1
Jordan,Poole,23,PG,82,20.4,2.6,4.5,2.7,2.6
Kevin,Porter,22,PG,59,19.2,2.6,5.7,5.3,2.4
Michael,Porter,24,SF,62,17.4,1.9,1.0,5.5,3.0
Otto,Porter,29,SF,8,5.5,0.9,1.0,2.4,0.8
Bobby,Portis,27,PF,70,14.1,1.6,1.5,9.6,1.4
Kristaps,Porziņģis,27,C,65,23.2,3.0,2.7,8.4,2.1
Micah,Potter,24,PF,7,3.4,0.7,0.6,2.3,0.6
Dwight,Powell,31,C,76,6.7,2.8,0.9,4.1,0.0
Norman,Powell,29,SG,60,17.0,2.1,1.8,2.9,1.9
Jason,Preston,23,PG,14,2.9,0.5,1.9,1.6,0.4
Joshua,Primo,20,SG,4,7.0,2.0,4.5,3.3,0.8
Taurean,Prince,28,PF,54,9.1,2.3,1.6,2.4,1.4
Payton,Pritchard,25,PG,48,5.6,0.8,1.3,1.8,1.2
Trevelin,Queen,25,SG,7,3.0,0.6,0.9,2.4,0.3
Neemias,Queta,23,C,5,2.4,1.4,0.2,2.2,0.0
Immanuel,Quickley,23,SG,81,14.9,2.0,3.4,4.2,2.1
Lester,Quinones,22,SG,4,2.5,0.0,0.5,0.8,0.5
Julius,Randle,28,PF,77,25.1,3.0,4.1,10.0,2.8
Austin,Reaves,24,SG,64,13.0,1.7,3.4,3.0,1.3
Cam,Reddish,23,SF,40,9.7,1.8,1.4,2.2,1.1
Davon,Reed,27,SG,43,2.1,0.9,0.5,1.4,0.4
Paul,Reed,23,C,69,4.2,1.8,0.4,3.8,0.0
Naz,Reid,23,C,68,11.5,2.6,1.1,4.9,1.1
Jared,Rhoden,23,SG,14,3.2,1.6,0.3,2.6,0.4
Nick,Richards,25,C,65,8.2,2.4,0.6,6.4,0.0
Josh,Richardson,29,SG,65,10.1,1.8,2.7,2.7,1.6
Austin,Rivers,30,SG,52,4.9,1.5,1.4,1.6,0.8
Duncan,Robinson,28,SF,42,6.4,1.8,1.1,1.6,1.5
Mitchell,Robinson,24,C,59,7.4,2.7,0.9,9.4,0.0
Orlando,Robinson,22,C,31,3.7,1.7,0.8,4.1,0.0
Jeremiah,Robinson-Earl,22,PF,43,6.8,1.7,1.0,4.2,0.9
Isaiah,Roby,24,PF,42,4.1,1.3,0.9,2.5,0.4
David,Roddy,21,PF,70,6.7,1.5,0.8,2.8,0.9
Ryan,Rollins,20,PG,12,1.9,0.8,0.5,1.0,0.3
Derrick,Rose,34,PG,27,5.6,0.7,1.7,1.5,0.7
Terrence,Ross,31,SG,63,8.3,1.5,1.5,2.4,1.5
Terry,Rozier,28,SG,63,21.1,1.9,5.1,4.1,2.6
Ricky,Rubio,32,PG,33,5.2,1.5,3.5,2.1,0.6
D'Angelo,Russell,26,PG,71,17.8,2.0,6.2,3.0,2.7
Matt,Ryan,25,SF,34,3.6,0.8,0.5,0.8,0.9
Domantas,Sabonis,26,C,79,19.1,3.5,7.3,12.3,0.4
Luka,Šamanić,23,PF,7,9.9,2.4,2.1,4.3,1.1
Dario,Šarić,28,PF-C,57,6.4,1.7,1.3,3.6,0.8
Olivier,Sarr,23,C,9,4.0,1.9,0.4,3.4,0.1
Jordan,Schakel,24,SF,2,1.5,0.5,0.5,0.0,0.5
Admiral,Schofield,25,PF,37,4.2,1.6,0.8,1.7,0.6
Dennis,Schröder,29,PG,66,12.6,2.2,4.5,2.5,1.1
Jay,Scrubb,22,SG,2,6.5,1.0,0.5,3.0,1.0
Dereon,Seabron,22,SG,5,0.8,0.2,0.0,0.2,0.0
Alperen,Şengün,20,C,75,14.8,3.4,3.9,9.0,0.3
Collin,Sexton,24,PG,48,14.3,2.3,2.9,2.2,1.0
Landry,Shamet,25,SG,40,8.7,1.5,2.3,1.7,1.9
Day'Ron,Sharpe,21,C,48,4.7,1.9,0.8,4.2,0.1
Shaedon,Sharpe,19,SG,80,9.9,1.7,1.2,3.0,1.3
Pascal,Siakam,28,PF,71,24.2,3.2,5.8,7.8,1.3
Chris,Silva,26,PF,1,2.0,2.0,0.0,0.0,0.0
Ben,Simmons,26,PG,42,6.9,3.3,6.1,6.3,0.0
Kobi,Simmons,25,SG,5,1.0,0.0,1.0,0.8,0.2
Marko,Simonovic,23,C,7,0.9,0.7,0.0,0.3,0.1
Anfernee,Simons,23,SG,62,21.1,2.3,4.1,2.6,3.4
Jericho,Sims,24,C,52,3.4,1.8,0.5,4.7,0.0
Marcus,Smart,28,PG,61,11.5,2.8,6.3,3.1,1.9
Dennis,Smith,25,PG,54,8.8,2.3,4.8,3.1,0.4
Dru,Smith,25,SG,15,2.9,1.5,1.5,1.6,0.3
Ish,Smith,34,PG,43,2.5,0.8,2.3,1.3,0.0
Jabari,Smith,19,PF,79,12.8,2.9,1.3,7.2,1.5
Jalen,Smith,22,C,68,9.4,2.3,1.0,5.8,0.8
Xavier,Sneed,25,SF,4,4.3,1.8,1.3,1.3,0.8
Jeremy,Sochan,19,PF,56,11.0,2.5,2.5,5.3,0.6
Jaden,Springer,20,SG,16,2.6,0.9,0.5,0.9,0.1
Lamar,Stevens,25,SF,62,5.3,1.3,0.5,3.3,0.5
Isaiah,Stewart,21,C,50,11.3,2.7,1.4,8.1,1.3
Max,Strus,26,SF,80,11.5,2.1,2.1,3.2,2.5
Jalen,Suggs,21,SG,53,9.9,2.3,2.9,3.0,1.2
Edmond,Sumner,27,SG,53,7.1,1.6,1.3,1.5,0.6
Cole,Swider,23,SF,7,1.3,0.4,0.6,1.0,0.4
Jae'Sean,Tate,27,SF,31,9.1,3.4,2.7,3.8,0.4
Jayson,Tatum,24,SF,74,30.1,2.2,4.6,8.8,3.2
Terry,Taylor,23,PF,31,2.9,0.8,0.3,1.5,0.2
Garrett,Temple,36,SG,25,2.0,0.6,0.5,0.7,0.4
Dalen,Terry,20,SG,38,2.2,0.6,0.6,1.0,0.2
Daniel,Theis,30,C,7,7.0,1.0,1.3,3.1,0.3
Cam,Thomas,21,SG,57,10.6,1.0,1.4,1.7,0.9
Klay,Thompson,32,SF,69,21.9,1.9,2.4,4.1,4.4
JT,Thor,20,PF,69,3.8,1.0,0.5,2.2,0.6
Matisse,Thybulle,25,SF-SG,71,4.1,1.6,0.7,2.0,0.8
Xavier,Tillman,24,C,61,7.0,1.6,1.6,5.0,0.1
Isaiah,Todd,21,PF,6,1.5,0.7,0.7,2.0,0.2
Obi,Toppin,24,PF,67,7.4,1.0,1.0,2.8,1.3
Juan,Toscano-Anderson,29,SF,52,3.0,1.5,1.3,2.4,0.2
Karl-Anthony,Towns,27,PF,29,20.8,3.8,4.8,8.1,2.1
Gary,Trent,24,SG,66,17.4,1.5,1.6,2.6,2.5
P.J.,Tucker,37,PF,75,3.5,2.4,0.8,3.9,0.7
Myles,Turner,26,C,62,18.0,3.5,1.4,7.5,1.5
Stanley,Umude,23,SG,1,2.0,0.0,0.0,0.0,0.0
Jonas,Valančiūnas,30,C,79,14.1,3.1,1.8,10.2,0.5
Jarred,Vanderbilt,23,PF,78,7.9,2.4,2.4,7.5,0.4
Fred,VanVleet,28,PG,69,19.3,2.8,7.2,4.1,3.0
Devin,Vassell,22,SG,38,18.5,1.5,3.6,3.9,2.7
Gabe,Vincent,26,PG,68,9.4,2.3,2.5,2.1,1.7
Noah,Vonleh,27,C,23,1.1,1.5,0.3,2.1,0.0
Nikola,Vučević,32,C,82,17.6,2.2,3.2,11.0,1.5
Dean,Wade,26,PF,44,4.7,2.0,0.8,3.4,1.0
Franz,Wagner,21,SF,80,18.6,2.3,3.5,4.1,1.6
Moritz,Wagner,25,C,57,10.5,2.4,1.5,4.5,0.9
Ish,Wainright,28,SF,60,4.2,2.0,0.9,2.3,1.0
Jabari,Walker,20,SF,56,3.9,1.2,0.6,2.3,0.3
Kemba,Walker,32,PG,9,8.0,1.2,2.1,1.8,0.8
Lonnie,Walker,24,SG,56,11.7,1.3,1.1,1.9,1.6
John,Wall,32,PG,34,11.4,1.7,5.2,2.7,1.0
T.J.,Warren,29,PF-SF,42,7.5,1.5,1.0,2.9,0.5
Duane,Washington,22,SG,31,7.9,0.7,2.0,1.2,1.3
P.J.,Washington,24,PF,73,15.7,2.6,2.4,4.9,2.0
TyTy,Washington,21,PG,31,4.7,0.9,1.5,1.5,0.6
Yuta,Watanabe,28,SF,58,5.6,1.4,0.8,2.4,1.0
Lindy,Waters,25,SG,41,5.2,1.0,0.7,1.8,1.4
Trendon,Watford,22,PF,62,7.4,1.9,2.1,3.8,0.4
Peyton,Watson,20,SG,23,3.3,0.6,0.5,1.6,0.3
Blake,Wesley,19,SG,37,5.0,1.8,2.7,2.2,0.5
Russell,Westbrook,34,PG,73,15.9,2.2,7.5,5.8,1.2
Coby,White,22,SG,74,9.7,1.6,2.8,2.9,1.7
Derrick,White,28,SG,82,12.4,2.2,3.9,3.6,1.8
Jack,White,25,SF,17,1.2,0.5,0.2,1.0,0.2
Joe,Wieskamp,23,SF,9,1.0,0.3,0.3,0.4,0.3
Aaron,Wiggins,24,SG,70,6.8,1.6,1.1,3.0,0.7
Andrew,Wiggins,27,SF,37,17.1,2.9,2.3,5.0,2.4
Lindell,Wigginton,24,PG,7,7.1,1.0,2.0,1.0,0.9
Alondes,Williams,23,SG,1,0.0,1.0,0.0,1.0,0.0
Donovan,Williams,21,SG,2,2.0,0.0,0.0,1.0,0.0
Grant,Williams,24,PF,79,8.1,2.4,1.7,4.6,1.5
Jalen,Williams,21,SG,75,14.1,2.5,3.3,4.5,1.0
Jaylin,Williams,20,C,49,5.9,2.3,1.6,4.9,0.9
Jeenathan,Williams,23,SG,5,10.6,2.6,2.0,3.0,0.6
Kenrich,Williams,28,PF,53,8.0,2.1,2.0,4.9,0.9
Mark,Williams,21,C,43,9.0,2.2,0.4,7.1,0.0
Patrick,Williams,21,PF,82,10.2,1.8,1.2,4.0,1.4
Robert,Williams,25,C,35,8.0,1.9,1.4,8.3,0.0
Vince,Williams,22,SG,15,2.0,0.8,0.3,1.0,0.3
Ziaire,Williams,21,SF,37,5.7,1.6,0.9,2.1,0.7
Zion,Williamson,22,PF,29,26.0,2.2,4.6,7.0,0.2
Dylan,Windler,26,SF,3,1.7,0.0,0.3,0.0,0.3
Justise,Winslow,26,PF,29,6.8,3.1,3.4,5.0,0.5
James,Wiseman,21,C,45,10.0,2.4,0.7,5.9,0.1
Christian,Wood,27,C,67,16.6,2.5,1.8,7.3,1.6
Delon,Wright,30,PG,50,7.4,1.2,3.9,3.6,0.8
McKinley,Wright,24,PG,27,4.2,0.9,2.1,1.7,0.3
Gabe,York,29,SG,3,8.0,1.7,1.7,2.0,2.0
Thaddeus,Young,34,PF,54,4.4,1.6,1.4,3.1,0.1
Trae,Young,24,PG,73,26.2,1.4,10.2,3.0,2.1
Omer,Yurtseven,24,C,9,4.4,1.8,0.2,2.6,0.3
Cody,Zeller,30,C,15,6.5,2.2,0.7,4.3,0.0
Ivica,Zubac,25,C,76,10.8,2.9,1.0,9.9,0.0
